#           p[0],          energy,        variance,           error,    elapsed time, acceptance ratio
   7.5000000e-01,   8.1269207e+00,   1.3102917e+00,   1.1446797e-03,   2.3438338e-01,   6.7932500e-01
   1.0000000e-03,   1.8848022e+03,   5.7297092e+05,   7.5694842e-01,   2.6379071e-01,   9.8798600e-01
   2.5121398e-01,   9.3359971e+00,   4.0859218e+00,   2.0213663e-03,   2.2685010e-01,   8.0974700e-01
   4.8625888e-01,   7.5035092e+00,   5.8703483e-03,   7.6618199e-05,   2.3683540e-01,   7.3862400e-01
   5.1095417e-01,   7.5019646e+00,   3.4248765e-03,   5.8522444e-05,   2.3190361e-01,   7.3300900e-01
   5.0066708e-01,   7.5000331e+00,   1.3176122e-05,   3.6298928e-06,   2.3742908e-01,   7.3578700e-01
   4.9996576e-01,   7.5000002e+00,   3.5288647e-08,   1.8785273e-07,   2.4292466e-01,   7.3556800e-01
   5.0000057e-01,   7.5000000e+00,   4.3732997e-12,   2.0912436e-09,   2.2762075e-01,   7.3533900e-01
   5.0000000e-01,   7.5000000e+00,  -3.2951419e-13,            -nan,   2.3652168e-01,   7.3587700e-01
   5.0000056e-01,   7.5000000e+00,   1.2854259e-11,   3.5852837e-09,   2.3440474e-01,   7.3529600e-01
   5.0000057e-01,   7.5000000e+00,   4.3737019e-12,   2.0913397e-09,   2.4044505e-01,   7.3515300e-01
   4.9998306e-01,   7.5000004e+00,   8.6310408e-09,   9.2903395e-08,   2.4514311e-01,   7.3571800e-01
   5.0000040e-01,   7.5000000e+00,   4.9045115e-12,   2.2146132e-09,   2.5172486e-01,   7.3574800e-01
   5.0000057e-01,   7.5000000e+00,   5.8876730e-12,   2.4264528e-09,   2.4364206e-01,   7.3566500e-01
   5.0000057e-01,   7.5000000e+00,   3.3719084e-12,   1.8362757e-09,   2.5658414e-01,   7.3518600e-01
   5.0000057e-01,   7.5000000e+00,   9.1339047e-12,   3.0222350e-09,   2.3821550e-01,   7.3514000e-01
