# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   6.0070980735e-02,   3.6840551600e-01,   9.3060000000e-01
   8.2542357687e-02,   3.7103316700e-01,   9.3920000000e-01
   4.3355750844e-02,   3.5215948100e-01,   9.2980000000e-01
   6.9403958899e-02,   3.4078311700e-01,   9.4020000000e-01
   2.7245179546e-02,   3.3614977100e-01,   9.3000000000e-01
   8.9155880246e-02,   3.5357036300e-01,   9.3140000000e-01
   1.1515580821e-01,   3.6453698300e-01,   9.2980000000e-01
   1.1485303038e-01,   3.5797668100e-01,   9.3180000000e-01
   1.4577555679e-01,   3.6888004100e-01,   9.2860000000e-01
   1.2305439612e-01,   3.5381984700e-01,   9.2860000000e-01
   1.6377971123e-01,   3.4317994900e-01,   9.2640000000e-01
   2.8887641709e-01,   3.4644282900e-01,   9.3280000000e-01
   2.8001796924e-01,   3.6461509200e-01,   9.3040000000e-01
   2.3272959845e-01,   3.7461217600e-01,   9.3980000000e-01
   2.9909152011e-01,   3.5781429600e-01,   9.3540000000e-01
   3.1463734752e-01,   3.8355971000e-01,   9.2980000000e-01
   3.0824375213e-01,   4.5778036600e-01,   9.4060000000e-01
   4.1168246880e-01,   4.6441433100e-01,   9.2800000000e-01
   3.5572491541e-01,   4.6165239200e-01,   9.2920000000e-01
   3.9180595133e-01,   4.7943486200e-01,   9.3100000000e-01
   4.9625892098e-01,   4.8487116700e-01,   9.3140000000e-01
   3.8835290458e-01,   4.9349998900e-01,   9.2780000000e-01
   5.3081797962e-01,   5.1520175800e-01,   9.2480000000e-01
   5.0924413888e-01,   4.6586215600e-01,   9.3460000000e-01
   4.6876956151e-01,   4.4733390300e-01,   9.3200000000e-01
   4.4471940157e-01,   4.9799812000e-01,   9.3440000000e-01
   5.0935698891e-01,   4.6372367500e-01,   9.2860000000e-01
   5.4469126672e-01,   4.2714961100e-01,   9.3960000000e-01
   5.6859301905e-01,   4.1917135500e-01,   9.3000000000e-01
   5.4886170323e-01,   4.1687626800e-01,   9.3360000000e-01
   5.1782599277e-01,   4.2864907700e-01,   9.3460000000e-01
   6.1791439563e-01,   4.1874553200e-01,   9.3500000000e-01
   6.5260829104e-01,   4.1876871700e-01,   9.3920000000e-01
   4.7199783243e-01,   4.1448819600e-01,   9.3240000000e-01
   5.6459581143e-01,   4.1650657800e-01,   9.3460000000e-01
   6.0517317387e-01,   4.3358008700e-01,   9.2820000000e-01
   6.4957201709e-01,   4.2041895500e-01,   9.2800000000e-01
   6.7702432329e-01,   4.1811308200e-01,   9.3200000000e-01
   6.8040104805e-01,   4.2148874800e-01,   9.3700000000e-01
   4.9632923363e-01,   4.1655881600e-01,   9.3540000000e-01
   6.1649793454e-01,   4.2258026000e-01,   9.3240000000e-01
   6.0867860725e-01,   4.1598086300e-01,   9.2720000000e-01
   6.7421840919e-01,   4.2234523800e-01,   9.3820000000e-01
   6.3028028826e-01,   4.1964202500e-01,   9.2560000000e-01
   5.2540417001e-01,   4.2734545200e-01,   9.3560000000e-01
   6.8353837660e-01,   4.1485498400e-01,   9.3100000000e-01
   5.4994551305e-01,   4.4327481800e-01,   9.2620000000e-01
   7.3846693389e-01,   4.4482475900e-01,   9.3040000000e-01
   6.8909074877e-01,   4.1891826400e-01,   9.3060000000e-01
   3.0401632875e-01,   4.2460924900e-01,   9.2820000000e-01
   7.0685606432e-01,   4.1430457600e-01,   9.3200000000e-01
   7.5306539992e-01,   4.1073231300e-01,   9.3020000000e-01
   6.7801954263e-01,   4.0777918700e-01,   9.3260000000e-01
   7.2778460771e-01,   4.1089972500e-01,   9.3740000000e-01
   7.7604196082e-01,   4.1854972600e-01,   9.2660000000e-01
   7.3805958004e-01,   4.1411690100e-01,   9.2800000000e-01
   8.0590156878e-01,   4.1208958800e-01,   9.3880000000e-01
   7.3209523190e-01,   4.0812106000e-01,   9.2520000000e-01
   5.9249654015e-01,   4.0488084100e-01,   9.3080000000e-01
   7.4271986807e-01,   4.2279652700e-01,   9.3500000000e-01
   7.8633823927e-01,   4.1645737800e-01,   9.2960000000e-01
   7.3867646939e-01,   4.1208086300e-01,   9.3260000000e-01
   8.1908590920e-01,   4.1185571000e-01,   9.2840000000e-01
   6.9535295276e-01,   4.0637765000e-01,   9.2860000000e-01
   8.1015753501e-01,   4.2155080200e-01,   9.3680000000e-01
   8.3465082720e-01,   4.1816249600e-01,   9.3860000000e-01
   8.0343551658e-01,   4.1205703000e-01,   9.2660000000e-01
   8.0864109822e-01,   4.0873412200e-01,   9.3720000000e-01
   7.8082747727e-01,   4.0449499400e-01,   9.3700000000e-01
   8.4564248466e-01,   4.1719376900e-01,   9.3280000000e-01
   7.5786791313e-01,   4.1489005400e-01,   9.2900000000e-01
   8.3215120510e-01,   4.1440057000e-01,   9.3520000000e-01
   8.4406507385e-01,   4.0522926000e-01,   9.3000000000e-01
