# r, density, density error estimate, radial probability, probability error estimate
3.500000000e-02, 3.549665640e-01, 7.029385424e-03, 7.285714286e-03, 1.442786420e-04
1.050000000e-01, 3.132654500e-01, 2.495921159e-03, 4.500857143e-02, 3.586027306e-04
1.750000000e-01, 3.034396323e-01, 1.491018336e-03, 1.183342857e-01, 5.814619155e-04
2.450000000e-01, 2.997934357e-01, 1.062022776e-03, 2.276714286e-01, 8.065294762e-04
3.150000000e-01, 2.945549289e-01, 8.198640863e-04, 3.687914286e-01, 1.026493934e-03
3.850000000e-01, 2.878204433e-01, 6.635348777e-04, 5.375857143e-01, 1.239338204e-03
4.550000000e-01, 2.757624915e-01, 5.497805480e-04, 7.188257143e-01, 1.433104237e-03
5.250000000e-01, 2.686593207e-01, 4.704150818e-04, 9.319085714e-01, 1.631746279e-03
5.950000000e-01, 2.548497634e-01, 4.043299235e-04, 1.135085714e+00, 1.800861472e-03
6.650000000e-01, 2.430954651e-01, 3.533681610e-04, 1.352168571e+00, 1.965537783e-03
7.350000000e-01, 2.294176176e-01, 3.106154252e-04, 1.558617143e+00, 2.110258713e-03
8.050000000e-01, 2.134259477e-01, 2.735596183e-04, 1.739091429e+00, 2.229087852e-03
8.750000000e-01, 2.001543059e-01, 2.437360006e-04, 1.926737143e+00, 2.346265813e-03
9.450000000e-01, 1.831966952e-01, 2.159179695e-04, 2.056788571e+00, 2.424157333e-03
1.015000000e+00, 1.682202442e-01, 1.926407157e-04, 2.178674286e+00, 2.494951638e-03
1.085000000e+00, 1.522621310e-01, 1.714557099e-04, 2.253262857e+00, 2.537300510e-03
1.155000000e+00, 1.365710151e-01, 1.525428561e-04, 2.290157143e+00, 2.557988687e-03
1.225000000e+00, 1.203647851e-01, 1.350254396e-04, 2.270385714e+00, 2.546922913e-03
1.295000000e+00, 1.060657199e-01, 1.199018636e-04, 2.235785714e+00, 2.527441232e-03
1.365000000e+00, 9.223933444e-02, 1.060813142e-04, 2.160162857e+00, 2.484329664e-03
1.435000000e+00, 7.975446451e-02, 9.383040515e-05, 2.064214286e+00, 2.428529411e-03
1.505000000e+00, 6.799990547e-02, 8.261131915e-05, 1.935840000e+00, 2.351801741e-03
1.575000000e+00, 5.748663092e-02, 7.258187360e-05, 1.792294286e+00, 2.262927488e-03
1.645000000e+00, 4.821617610e-02, 6.364418966e-05, 1.639834286e+00, 2.164541710e-03
1.715000000e+00, 3.982051559e-02, 5.547792591e-05, 1.471991429e+00, 2.050777851e-03
1.785000000e+00, 3.261214504e-02, 4.823748772e-05, 1.305934286e+00, 1.931642000e-03
1.855000000e+00, 2.647736024e-02, 4.182430255e-05, 1.145048571e+00, 1.808747453e-03
1.925000000e+00, 2.124572386e-02, 3.610290524e-05, 9.894428571e-01, 1.681362421e-03
1.995000000e+00, 1.687864056e-02, 3.105021423e-05, 8.442628571e-01, 1.553119310e-03
2.065000000e+00, 1.329381917e-02, 2.662226982e-05, 7.124285714e-01, 1.426713077e-03
2.135000000e+00, 1.037784866e-02, 2.275083713e-05, 5.945000000e-01, 1.303292534e-03
2.205000000e+00, 7.991546369e-03, 1.933079110e-05, 4.883085714e-01, 1.181172023e-03
2.275000000e+00, 5.997263315e-03, 1.623076808e-05, 3.900857143e-01, 1.055713319e-03
2.345000000e+00, 4.580620493e-03, 1.376145109e-05, 3.165571429e-01, 9.510252255e-04
2.415000000e+00, 3.443616746e-03, 1.158606908e-05, 2.524000000e-01, 8.492013054e-04
2.485000000e+00, 2.533516302e-03, 9.657887586e-06, 1.966142857e-01, 7.495032368e-04
2.555000000e+00, 1.885799596e-03, 8.104091357e-06, 1.547085714e-01, 6.648492234e-04
2.625000000e+00, 1.356227023e-03, 6.689367675e-06, 1.174428571e-01, 5.792676587e-04
2.695000000e+00, 9.843722394e-04, 5.550981082e-06, 8.984857143e-02, 5.066657716e-04
2.765000000e+00, 6.958939195e-04, 4.549103663e-06, 6.686000000e-02, 4.370681542e-04
2.835000000e+00, 5.046482265e-04, 3.778255527e-06, 5.097142857e-02, 3.816184653e-04
2.905000000e+00, 3.371089240e-04, 3.013627200e-06, 3.575142857e-02, 3.196043472e-04
2.975000000e+00, 2.402843474e-04, 2.484430190e-06, 2.672571429e-02, 2.763316552e-04
3.045000000e+00, 1.639927454e-04, 2.005286843e-06, 1.910857143e-02, 2.336576949e-04
3.115000000e+00, 1.081567215e-04, 1.591917709e-06, 1.318857143e-02, 1.941175743e-04
3.185000000e+00, 7.519314703e-05, 1.298171287e-06, 9.585714286e-03, 1.654924624e-04
3.255000000e+00, 4.892583151e-05, 1.024638787e-06, 6.514285714e-03, 1.364267016e-04
3.325000000e+00, 3.574147937e-05, 8.573292445e-07, 4.965714286e-03, 1.191123633e-04
3.395000000e+00, 2.264482855e-05, 6.683409827e-07, 3.280000000e-03, 9.680613912e-05
3.465000000e+00, 1.503562017e-05, 5.335941932e-07, 2.268571429e-03, 8.050858745e-05
